"user_id","resource_id"
169821,679
1239932,745
1141426,504
1221330,566
1663432,566
1137633,571
992335,1129
645784,503
194020,1138
1131324,551
1779928,356
1129115,514
694189,551
2104648,523
2068958,1152
918601,366
1800117,490
426361,1181
709679,523
1635962,490
724200,523
1168656,511
740235,566
1861181,840
183181,794
1606490,572
1358705,794
1175774,750
1123459,513
748935,490
190624,489
1595669,490
920953,502
1339917,504
345011,514
2137692,566
1619392,502
1044437,551
221602,551
1258787,571
1624978,809
1824321,503
1177402,551
2033439,566
1645250,562
179103,551
1017764,502
215651,358
1261501,514
696878,753
1312456,551
1102229,514
2188990,750
1806478,764
768642,750
1145707,566
732741,757
1372573,570
1494410,566
1555000,551
1159101,791
1332493,504
1213711,566
1844918,490
1379773,551
1241719,514
1033021,507
1861355,840
205309,745
1109948,551
494881,571
695792,745
1602895,490
603260,752
1166421,563
1340695,566
1985117,765
1864247,794
111960,360
1820792,490
943476,908
1223271,752
727488,1144
1145552,570
1855801,794
719117,568
1456891,551
1135090,551
1103696,551
1000468,750
1168272,551
1140603,566
1536119,503
682867,515
1418325,745
2023556,764
1818694,566
712461,568
1499420,566
718487,368
109055,1099
1346873,749
1600775,743
1604668,570
1226230,566
1092598,490
196077,752
1592586,551
692666,679
712936,365
737314,829
1543607,659
2065435,1156
714096,356
1192905,551
1293976,502
1290402,571
1123096,514
897889,569
1140256,566
1422502,840
1626893,572
1639969,514
1154568,551
1177896,566
1773566,363
1323474,551
1105217,741
1082247,566
706003,840
1189625,566
203401,1181
1199313,1144
549842,863
2117049,749
109138,745
1106838,551
692544,794
203669,489
1993797,1103
1806587,503
1908849,791
1040761,515
928840,908
742793,745
1804286,814
345662,745
1782113,794
804922,507
1044865,507
719948,551
1600260,794
160775,519
1803655,504
422257,1100
1112333,908
1174953,745
1139448,1144
1412184,551
1057177,1100
703966,745
1141664,572
1122625,551
1331680,551
180777,551
211143,553
1600713,749
716832,566
1158373,566
706640,829
463685,551
182652,803
1816094,749
1816914,490
1177833,1125
1537885,514
1327167,764
1208970,504
2121335,1186
1801014,490
1154328,519
1972904,566
989634,357
1105367,519
1675140,566
1124824,551
1640893,490
432686,359
1152343,750
1611574,566
1167836,764
727592,659
1174771,566
762566,794
687611,840
1550673,566
1019451,490
1152029,551
697414,566
1825813,507
1036214,523
1120748,551
693677,564
1847430,840
1599993,507
1242027,744
1052421,514
182301,363
1161135,572
1088195,777
1156314,551
904836,503
1266697,741
1141824,570
1017784,517
102027,503
1818979,909
716832,514
208813,1144
1703384,489
1096287,551
465402,1156
1022134,523
1217198,551
2053467,794
1790369,810
1611339,566
646427,357
205527,1100
1085112,572
170248,863
1145375,511
170719,551
1162336,566
1144054,551
1637130,504
2076460,749
1848040,1186
1153233,551
1821421,1100
1539740,514
1596303,679
707482,515
699035,356
1072531,569
1646795,1103
204461,551
1593019,504
1484855,809
1215961,514
1110370,794
1417784,551
753303,571
1632442,745
652424,356
1005209,523
785110,1138
731243,571
1825122,570
1144215,809
742525,490
1234095,745
1294413,566
1251208,503
1422604,566
1857817,756
1165609,523
1838457,569
1557238,551
1805484,569
1571994,749
1028222,515
743805,1184
298284,356
1136581,551
1847028,840
1201603,745
1889486,679
182346,809
1191525,907
794197,679
1148536,551
1167981,523
1852532,553
690254,829
1359575,551
1021158,514
1489446,777
2096761,503
970344,511
897889,1161
565025,517
1747961,566
180999,504
1175273,551
2111186,814
1873301,840
1031597,504
1172202,749
738031,514
748337,745
1597505,794
1390850,566
725991,566
1358311,514
990350,489
1175365,551
716870,489
1009854,489
1089670,516
1810623,840
1125109,572
169874,908
1242262,551
1139980,566
716703,752
1850096,566
1585439,490
2103209,490
2144461,490
878743,1185
1384574,814
1118687,551
1839993,552
1170891,551
170398,519
1163169,564
1141736,515
1130429,1161
1641299,749
1537093,490
1033016,368
1153862,566
